price,score_general,score_games,score_mobility,weight,operating_system_family_name,screen_size_value,screen_resolution_unicode,screen_rr_value,battery_mwh,processor_f_value,processor_p_core_count,processor_thread_count,processor_speed_score,main_gpu_speed_score,ram_quantity_value,ram_frequency_value,ram_type_name,sd_capacity_value,sd_drive_type_name
698900,0.15119916579770595,0.09016393442622951,0.6410810810810811,0.22364901016586408,2,0.4666666666666668,4,60,0.41998259947798433,0.40476190476190477,4,8,10260,2768,0.03225806451612903,0.23364485981308408,2,0.12096774193548387,1
1745990,0.4671532846715329,0.6526639344262295,0.3783783783783784,0.33600856072766183,2,0.6800000000000002,16,120,0.7499924997749933,0.9047619047619048,6,22,29239,27681,0.0967741935483871,0.5841121495327102,7,0.2439516129032258,1
269990,0.039624608967674654,0.02766393442622951,0.6216216216216216,0.2557517388978063,1,0.4666666666666668,0,60,0.40998229946898407,0.47619047619047616,2,4,4110,1325,0.0,0.1556658878504673,2,0.2439516129032258,0
719990,0.22210636079249219,0.1290983606557377,0.6443243243243243,0.21829855537720705,1,0.4666666666666668,0,60,0.5799873996219886,0.19047619047619047,2,12,15354,3816,0.03225806451612903,0.23364485981308408,2,0.056451612903225805,1
2949990,0.7831074035453598,0.9241803278688525,0.11567567567567569,0.5553772070626003,2,0.7333333333333334,14,240,0.9989999699991,0.3571428571428571,8,32,44441,42047,0.22580645161290322,0.5841121495327102,3,0.2439516129032258,1
549990,0.2408759124087591,0.14549180327868855,0.5318918918918919,0.2611021936864633,2,0.6800000000000002,0,60,0.40998229946898407,0.19047619047619047,2,12,12973,3816,0.0967741935483871,0.23364485981308408,2,0.12096774193548387,1
670000,0.32742440041710114,0.1403688524590164,0.6129729729729729,0.26912787586944886,2,0.4666666666666668,4,60,0.49998499954998654,0.4285714285714286,8,16,19188,2335,0.0967741935483871,0.23364485981308408,2,0.12096774193548387,1
1199990,0.43899895724713245,0.5676229508196722,0.3491891891891892,0.38416265382557513,2,0.6800000000000002,4,144,0.5349860495814874,0.5476190476190476,6,16,27188,23362,0.0967741935483871,0.5257009345794392,3,0.12096774193548387,1
1212490,0.5046923879040668,0.639344262295082,0.2972972972972973,0.46976993044408766,2,0.6800000000000002,4,144,0.5699870996129884,0.738095238095238,8,16,24398,27681,0.22580645161290322,0.5841121495327102,3,0.2439516129032258,1
499990,0.1845672575599583,0.2346311475409836,0.2594594594594595,0.48582129481005887,1,0.746666666666667,4,60,0.5249857495724871,0.5714285714285714,4,8,8901,9317,0.0967741935483871,0.19465537383177572,2,0.12096774193548387,1
